Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	6.560E+00	
2.050E-02	6.113E+00	
2.100E-02	5.707E+00	
2.150E-02	5.337E+00	
2.200E-02	4.999E+00	
2.250E-02	4.690E+00	
2.300E-02	4.406E+00	
2.350E-02	4.146E+00	
2.400E-02	3.906E+00	
2.450E-02	3.685E+00	
2.500E-02	3.482E+00	
2.550E-02	3.293E+00	
2.600E-02	3.119E+00	
2.650E-02	2.957E+00	
2.700E-02	2.807E+00	
2.750E-02	2.667E+00	
2.800E-02	2.537E+00	
2.850E-02	2.416E+00	
2.900E-02	2.303E+00	
2.950E-02	2.198E+00	
3.000E-02	2.099E+00	
3.050E-02	2.007E+00	
3.100E-02	1.920E+00	
3.150E-02	1.839E+00	
3.200E-02	1.762E+00	
3.250E-02	1.690E+00	
3.300E-02	1.623E+00	
3.350E-02	1.559E+00	
3.400E-02	1.499E+00	
3.450E-02	1.443E+00	
3.500E-02	1.389E+00	
3.550E-02	1.339E+00	
3.600E-02	1.291E+00	
3.650E-02	1.246E+00	
3.700E-02	1.203E+00	
3.750E-02	1.162E+00	
3.800E-02	1.124E+00	
3.850E-02	1.087E+00	
3.900E-02	1.052E+00	
3.950E-02	1.019E+00	
4.000E-02	9.877E-01	
4.050E-02	9.578E-01	
4.100E-02	9.293E-01	
4.150E-02	9.022E-01	
4.200E-02	8.763E-01	
4.250E-02	8.516E-01	
4.300E-02	8.280E-01	
4.350E-02	8.055E-01	
4.400E-02	7.840E-01	
4.450E-02	7.634E-01	
4.500E-02	7.437E-01	
4.550E-02	7.248E-01	
4.600E-02	7.068E-01	
4.650E-02	6.895E-01	
4.700E-02	6.729E-01	
4.750E-02	6.571E-01	
4.800E-02	6.418E-01	
4.850E-02	6.272E-01	
4.900E-02	6.131E-01	
4.950E-02	5.996E-01	
5.000E-02	5.867E-01	
5.050E-02	5.742E-01	
5.100E-02	5.622E-01	
5.150E-02	5.506E-01	
5.200E-02	5.395E-01	
5.250E-02	5.288E-01	
5.300E-02	5.185E-01	
5.350E-02	5.086E-01	
5.400E-02	4.990E-01	
5.450E-02	4.898E-01	
5.500E-02	4.808E-01	
5.550E-02	4.722E-01	
5.600E-02	4.639E-01	
5.650E-02	4.559E-01	
5.700E-02	4.482E-01	
5.750E-02	4.407E-01	
5.800E-02	4.334E-01	
5.850E-02	4.264E-01	
5.900E-02	4.196E-01	
5.950E-02	4.131E-01	
6.000E-02	4.067E-01	
6.050E-02	4.006E-01	
6.100E-02	3.946E-01	
6.150E-02	3.888E-01	
6.200E-02	3.833E-01	
6.250E-02	3.778E-01	
6.300E-02	3.726E-01	
6.350E-02	3.675E-01	
6.400E-02	3.625E-01	
6.450E-02	3.577E-01	
6.500E-02	3.531E-01	
6.550E-02	3.485E-01	
6.600E-02	3.441E-01	
6.650E-02	3.399E-01	
6.700E-02	3.357E-01	
6.750E-02	3.317E-01	
6.800E-02	3.278E-01	
6.850E-02	3.240E-01	
6.900E-02	3.202E-01	
6.950E-02	3.166E-01	
7.000E-02	3.131E-01
7.050E-02	3.097E-01	
7.100E-02	3.064E-01	
7.150E-02	3.031E-01	
7.200E-02	3.000E-01	
7.250E-02	2.969E-01	
7.300E-02	2.939E-01	
7.350E-02	2.910E-01	
7.400E-02	2.881E-01	
7.450E-02	2.854E-01	
7.500E-02	2.827E-01	
7.550E-02	2.800E-01	
7.600E-02	2.775E-01	
7.650E-02	2.749E-01	
7.700E-02	2.725E-01	
7.750E-02	2.701E-01	
7.800E-02	2.678E-01	
7.850E-02	2.655E-01	
7.900E-02	2.632E-01	
7.950E-02	2.611E-01	
8.000E-02	2.589E-01	
8.050E-02	2.569E-01	
8.100E-02	2.548E-01	
8.150E-02	2.528E-01	
8.200E-02	2.509E-01	
8.250E-02	2.490E-01	
8.300E-02	2.471E-01	
8.350E-02	2.453E-01	
8.400E-02	2.435E-01	
8.450E-02	2.418E-01	
8.500E-02	2.401E-01	
8.550E-02	2.384E-01	
8.600E-02	2.368E-01	
8.650E-02	2.352E-01	
8.700E-02	2.336E-01	
8.750E-02	2.321E-01	
8.800E-02	2.306E-01	
8.850E-02	2.291E-01	
8.900E-02	2.277E-01	
8.950E-02	2.262E-01	
9.000E-02	2.248E-01	
9.050E-02	2.235E-01	
9.100E-02	2.222E-01	
9.150E-02	2.208E-01	
9.200E-02	2.196E-01	
9.250E-02	2.183E-01	
9.300E-02	2.171E-01	
9.350E-02	2.158E-01	
9.400E-02	2.147E-01	
9.450E-02	2.135E-01	
9.500E-02	2.123E-01	
9.550E-02	2.112E-01	
9.600E-02	2.101E-01	
9.650E-02	2.090E-01	
9.700E-02	2.079E-01	
9.750E-02	2.069E-01	
9.800E-02	2.059E-01	
9.850E-02	2.048E-01	
9.900E-02	2.038E-01	
9.950E-02	2.029E-01	
1.000E-01	2.019E-01	
	
