Energy   	Coherent	
2.000E-02	1.147E+00	
2.050E-02	1.081E+00	
2.100E-02	1.021E+00	
2.150E-02	9.659E-01	
2.200E-02	9.158E-01	
2.250E-02	8.700E-01	
2.300E-02	8.281E-01	
2.350E-02	7.896E-01	
2.400E-02	7.542E-01	
2.450E-02	7.215E-01	
2.500E-02	6.914E-01	
2.550E-02	6.635E-01	
2.600E-02	6.377E-01	
2.650E-02	6.138E-01	
2.700E-02	5.916E-01	
2.750E-02	5.709E-01	
2.800E-02	5.516E-01	
2.850E-02	5.337E-01	
2.900E-02	5.169E-01	
2.950E-02	5.012E-01	
3.000E-02	4.865E-01	
3.050E-02	4.726E-01	
3.100E-02	4.596E-01	
3.150E-02	4.474E-01	
3.200E-02	4.360E-01	
3.250E-02	4.252E-01	
3.300E-02	4.150E-01		
3.350E-02	7.629E-01	
3.400E-02	7.406E-01	
3.450E-02	7.193E-01	
3.500E-02	6.992E-01	
3.550E-02	6.801E-01	
3.600E-02	6.619E-01	
3.650E-02	6.446E-01	
3.700E-02	6.282E-01	
3.750E-02	6.126E-01	
3.800E-02	5.976E-01	
3.850E-02	5.834E-01	
3.900E-02	5.698E-01	
3.950E-02	5.568E-01	
4.000E-02	5.444E-01	
4.050E-02	5.325E-01	
4.100E-02	5.212E-01	
4.150E-02	5.103E-01	
4.200E-02	4.999E-01	
4.250E-02	4.899E-01	
4.300E-02	4.803E-01	
4.350E-02	4.711E-01	
4.400E-02	4.623E-01	
4.450E-02	4.538E-01	
4.500E-02	4.457E-01	
4.550E-02	4.378E-01	
4.600E-02	4.303E-01	
4.650E-02	4.230E-01	
4.700E-02	4.160E-01	
4.750E-02	4.093E-01	
4.800E-02	4.028E-01	
4.850E-02	3.965E-01	
4.900E-02	3.905E-01	
4.950E-02	3.846E-01	
5.000E-02	3.790E-01	
5.050E-02	3.736E-01	
5.100E-02	3.683E-01	
5.150E-02	3.632E-01	
5.200E-02	3.583E-01	
5.250E-02	3.536E-01	
5.300E-02	3.490E-01	
5.350E-02	3.445E-01	
5.400E-02	3.402E-01	
5.450E-02	3.361E-01	
5.500E-02	3.320E-01	
5.550E-02	3.281E-01	
5.600E-02	3.243E-01	
5.650E-02	3.206E-01	
5.700E-02	3.171E-01	
5.750E-02	3.136E-01	
5.800E-02	3.103E-01	
5.850E-02	3.070E-01	
5.900E-02	3.039E-01	
5.950E-02	3.008E-01	
6.000E-02	2.978E-01	
6.050E-02	2.949E-01	
6.100E-02	2.921E-01	
6.150E-02	2.894E-01	
6.200E-02	2.867E-01	
6.250E-02	2.841E-01	
6.300E-02	2.816E-01	
6.350E-02	2.791E-01	
6.400E-02	2.767E-01	
6.450E-02	2.744E-01	
6.500E-02	2.722E-01	
6.550E-02	2.699E-01	
6.600E-02	2.678E-01	
6.650E-02	2.657E-01	
6.700E-02	2.637E-01	
6.750E-02	2.617E-01	
6.800E-02	2.597E-01	
6.850E-02	2.578E-01	
6.900E-02	2.560E-01	
6.950E-02	2.542E-01	
7.000E-02	2.524E-01	
7.050E-02	2.507E-01	
7.100E-02	2.490E-01	
7.150E-02	2.473E-01	
7.200E-02	2.457E-01	
7.250E-02	2.442E-01	
7.300E-02	2.426E-01	
7.350E-02	2.411E-01	
7.400E-02	2.396E-01	
7.450E-02	2.382E-01	
7.500E-02	2.368E-01	
7.550E-02	2.354E-01	
7.600E-02	2.341E-01	
7.650E-02	2.327E-01	
7.700E-02	2.315E-01	
7.750E-02	2.302E-01	
7.800E-02	2.289E-01	
7.850E-02	2.277E-01	
7.900E-02	2.265E-01	
7.950E-02	2.254E-01	
8.000E-02	2.242E-01	
8.050E-02	2.231E-01	
8.100E-02	2.220E-01	
8.150E-02	2.209E-01	
8.200E-02	2.198E-01	
8.250E-02	2.188E-01	
8.300E-02	2.178E-01	
8.350E-02	2.168E-01	
8.400E-02	2.158E-01	
8.450E-02	2.148E-01	
8.500E-02	2.139E-01	
8.550E-02	2.129E-01	
8.600E-02	2.120E-01	
8.650E-02	2.111E-01	
8.700E-02	2.102E-01	
8.750E-02	2.094E-01	
8.800E-02	2.085E-01	
8.850E-02	2.077E-01	
8.900E-02	2.068E-01	
8.950E-02	2.060E-01	
9.000E-02	2.052E-01	
9.050E-02	2.044E-01	
9.100E-02	2.037E-01	
9.150E-02	2.029E-01	
9.200E-02	2.022E-01	
9.250E-02	2.014E-01	
9.300E-02	2.007E-01	
9.350E-02	2.000E-01	
9.400E-02	1.993E-01	
9.450E-02	1.986E-01	
9.500E-02	1.979E-01	
9.550E-02	1.972E-01	
9.600E-02	1.966E-01	
9.650E-02	1.959E-01	
9.700E-02	1.953E-01	
9.750E-02	1.946E-01	
9.800E-02	1.940E-01	
9.850E-02	1.934E-01	
9.900E-02	1.928E-01	
9.950E-02	1.922E-01	
1.000E-01	1.916E-01	
1.005E-01	1.910E-01	
1.010E-01	1.904E-01	
1.015E-01	1.899E-01	
1.020E-01	1.893E-01	
1.025E-01	1.888E-01	
1.030E-01	1.882E-01	
1.035E-01	1.877E-01	
1.040E-01	1.872E-01	
