Energy   	Coherent	
2.000E-02	1.206E+01	
2.050E-02	1.128E+01	
2.100E-02	1.057E+01	
2.150E-02	9.925E+00	
2.200E-02	9.332E+00	
2.250E-02	8.787E+00	
2.300E-02	8.286E+00	
2.350E-02	7.824E+00	
2.400E-02	7.398E+00	
2.450E-02	7.003E+00	
2.500E-02	6.638E+00	
2.550E-02	6.299E+00	
2.600E-02	5.984E+00	
2.650E-02	5.691E+00	
2.700E-02	5.418E+00	
2.750E-02	5.163E+00	
2.800E-02	4.925E+00	
2.850E-02	4.703E+00	
2.900E-02	4.494E+00	
2.950E-02	4.299E+00	
3.000E-02	4.115E+00	
3.050E-02	3.942E+00	
3.100E-02	3.778E+00	
3.150E-02	3.624E+00	
3.200E-02	3.479E+00	
3.250E-02	3.343E+00	
3.300E-02	3.214E+00			
3.350E-02	1.626E+01	
3.400E-02	1.566E+01	
3.450E-02	1.508E+01	
3.500E-02	1.454E+01	
3.550E-02	1.402E+01	
3.600E-02	1.352E+01	
3.650E-02	1.305E+01	
3.700E-02	1.261E+01	
3.750E-02	1.218E+01	
3.800E-02	1.177E+01	
3.850E-02	1.139E+01	
3.900E-02	1.102E+01	
3.950E-02	1.066E+01	
4.000E-02	1.032E+01	
4.050E-02	9.999E+00	
4.100E-02	9.688E+00	
4.150E-02	9.391E+00	
4.200E-02	9.106E+00	
4.250E-02	8.832E+00	
4.300E-02	8.570E+00	
4.350E-02	8.318E+00	
4.400E-02	8.076E+00	
4.450E-02	7.844E+00	
4.500E-02	7.621E+00	
4.550E-02	7.406E+00	
4.600E-02	7.199E+00	
4.650E-02	7.000E+00	
4.700E-02	6.809E+00	
4.750E-02	6.624E+00	
4.800E-02	6.447E+00	
4.850E-02	6.275E+00	
4.900E-02	6.110E+00	
4.950E-02	5.951E+00	
5.000E-02	5.797E+00	
5.050E-02	5.648E+00	
5.100E-02	5.505E+00	
5.150E-02	5.366E+00	
5.200E-02	5.233E+00	
5.250E-02	5.103E+00	
5.300E-02	4.978E+00	
5.350E-02	4.858E+00	
5.400E-02	4.741E+00	
5.450E-02	4.628E+00	
5.500E-02	4.518E+00	
5.550E-02	4.413E+00	
5.600E-02	4.310E+00	
5.650E-02	4.211E+00	
5.700E-02	4.115E+00	
5.750E-02	4.022E+00	
5.800E-02	3.932E+00	
5.850E-02	3.845E+00	
5.900E-02	3.760E+00	
5.950E-02	3.678E+00	
6.000E-02	3.599E+00	
6.050E-02	3.521E+00	
6.100E-02	3.447E+00	
6.150E-02	3.374E+00	
6.200E-02	3.303E+00	
6.250E-02	3.235E+00	
6.300E-02	3.169E+00	
6.350E-02	3.104E+00	
6.400E-02	3.041E+00	
6.450E-02	2.980E+00	
6.500E-02	2.921E+00	
6.550E-02	2.864E+00	
6.600E-02	2.808E+00	
6.650E-02	2.753E+00	
6.700E-02	2.700E+00	
