Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	5.714E-01	
2.050E-02	5.442E-01	
2.100E-02	5.195E-01	
2.150E-02	4.971E-01	
2.200E-02	4.766E-01	
2.250E-02	4.580E-01	
2.300E-02	4.410E-01	
2.350E-02	4.253E-01	
2.400E-02	4.110E-01	
2.450E-02	3.978E-01	
2.500E-02	3.856E-01	
2.550E-02	3.744E-01	
2.600E-02	3.640E-01	
2.650E-02	3.544E-01	
2.700E-02	3.454E-01	
2.750E-02	3.371E-01	
2.800E-02	3.294E-01	
2.850E-02	3.222E-01	
2.900E-02	3.154E-01	
2.950E-02	3.091E-01	
3.000E-02	3.032E-01	
3.050E-02	2.977E-01	
3.100E-02	2.925E-01	
3.150E-02	2.876E-01	
3.200E-02	2.830E-01	
3.250E-02	2.786E-01	
3.300E-02	2.745E-01	
3.350E-02	2.707E-01	
3.400E-02	2.670E-01	
3.450E-02	2.635E-01	
3.500E-02	2.602E-01	
3.550E-02	2.571E-01	
3.600E-02	2.542E-01	
3.650E-02	2.514E-01	
3.700E-02	2.487E-01	
3.750E-02	2.461E-01	
3.800E-02	2.437E-01	
3.850E-02	2.414E-01	
3.900E-02	2.392E-01	
3.950E-02	2.371E-01	
4.000E-02	2.350E-01	
4.050E-02	2.331E-01	
4.100E-02	2.312E-01	
4.150E-02	2.294E-01	
4.200E-02	2.277E-01	
4.250E-02	2.261E-01	
4.300E-02	2.245E-01	
4.350E-02	2.230E-01	
4.400E-02	2.215E-01	
4.450E-02	2.201E-01	
4.500E-02	2.188E-01	
4.550E-02	2.174E-01	
4.600E-02	2.162E-01	
4.650E-02	2.149E-01	
4.700E-02	2.138E-01	
4.750E-02	2.126E-01	
4.800E-02	2.115E-01	
4.850E-02	2.104E-01	
4.900E-02	2.094E-01	
4.950E-02	2.084E-01	
5.000E-02	2.074E-01	
5.050E-02	2.064E-01	
5.100E-02	2.055E-01	
5.150E-02	2.046E-01	
5.200E-02	2.038E-01	
5.250E-02	2.029E-01	
5.300E-02	2.021E-01	
5.350E-02	2.013E-01	
5.400E-02	2.005E-01	
5.450E-02	1.997E-01	
5.500E-02	1.990E-01	
5.550E-02	1.982E-01	
5.600E-02	1.975E-01	
5.650E-02	1.968E-01	
5.700E-02	1.962E-01	
5.750E-02	1.955E-01	
5.800E-02	1.948E-01	
5.850E-02	1.942E-01	
5.900E-02	1.936E-01	
5.950E-02	1.930E-01	
6.000E-02	1.924E-01	
6.050E-02	1.918E-01	
6.100E-02	1.912E-01	
6.150E-02	1.907E-01	
6.200E-02	1.901E-01	
6.250E-02	1.896E-01	
6.300E-02	1.890E-01	
6.350E-02	1.885E-01	
6.400E-02	1.880E-01	
6.450E-02	1.875E-01	
6.500E-02	1.870E-01	
6.550E-02	1.865E-01	
6.600E-02	1.861E-01	
6.650E-02	1.856E-01	
6.700E-02	1.851E-01	
6.750E-02	1.847E-01	
6.800E-02	1.842E-01	
6.850E-02	1.838E-01	
6.900E-02	1.833E-01	
6.950E-02	1.829E-01	
7.000E-02	1.825E-01	
7.050E-02	1.821E-01	
7.100E-02	1.817E-01	
7.150E-02	1.813E-01	
7.200E-02	1.809E-01	
7.250E-02	1.805E-01	
7.300E-02	1.801E-01	
7.350E-02	1.797E-01	
7.400E-02	1.793E-01	
7.450E-02	1.790E-01	
7.500E-02	1.786E-01	
7.550E-02	1.782E-01	
7.600E-02	1.779E-01	
7.650E-02	1.775E-01	
7.700E-02	1.771E-01	
7.750E-02	1.768E-01	
7.800E-02	1.765E-01	
7.850E-02	1.761E-01	
7.900E-02	1.758E-01	
7.950E-02	1.754E-01	
8.000E-02	1.751E-01
8.050E-02	1.748E-01	
8.100E-02	1.745E-01	
8.150E-02	1.742E-01	
8.200E-02	1.738E-01	
8.250E-02	1.735E-01	
8.300E-02	1.732E-01	
8.350E-02	1.729E-01	
8.400E-02	1.726E-01	
8.450E-02	1.723E-01	
8.500E-02	1.720E-01	
8.550E-02	1.717E-01	
8.600E-02	1.714E-01	
8.650E-02	1.711E-01	
