Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	7.500E-01	
2.050E-02	7.088E-01	
2.100E-02	6.715E-01	
2.150E-02	6.376E-01	
2.200E-02	6.067E-01	
2.250E-02	5.786E-01	
2.300E-02	5.529E-01	
2.350E-02	5.293E-01	
2.400E-02	5.076E-01	
2.450E-02	4.877E-01	
2.500E-02	4.694E-01	
2.550E-02	4.524E-01	
2.600E-02	4.368E-01	
2.650E-02	4.223E-01	
2.700E-02	4.088E-01	
2.750E-02	3.963E-01	
2.800E-02	3.847E-01	
2.850E-02	3.739E-01	
2.900E-02	3.638E-01	
2.950E-02	3.543E-01	
3.000E-02	3.455E-01	
3.050E-02	3.372E-01	
3.100E-02	3.295E-01	
3.150E-02	3.222E-01	
3.200E-02	3.153E-01	
3.250E-02	3.089E-01	
3.300E-02	3.028E-01	
3.350E-02	2.971E-01	
3.400E-02	2.917E-01	
3.450E-02	2.866E-01	
3.500E-02	2.817E-01	
3.550E-02	2.772E-01	
3.600E-02	2.728E-01	
3.650E-02	2.687E-01	
3.700E-02	2.648E-01	
3.750E-02	2.611E-01	
3.800E-02	2.575E-01	
3.850E-02	2.542E-01	
3.900E-02	2.510E-01	
3.950E-02	2.479E-01	
4.000E-02	2.450E-01	
4.050E-02	2.422E-01	
4.100E-02	2.395E-01	
4.150E-02	2.370E-01	
4.200E-02	2.346E-01	
4.250E-02	2.322E-01	
4.300E-02	2.300E-01	
4.350E-02	2.278E-01	
4.400E-02	2.258E-01	
4.450E-02	2.238E-01	
4.500E-02	2.219E-01	
4.550E-02	2.200E-01	
4.600E-02	2.183E-01	
4.650E-02	2.166E-01	
4.700E-02	2.149E-01	
4.750E-02	2.133E-01	
4.800E-02	2.118E-01	
4.850E-02	2.103E-01	
4.900E-02	2.089E-01
4.950E-02	2.075E-01
5.000E-02	2.062E-01	
5.050E-02	2.049E-01	
5.100E-02	2.037E-01	
5.150E-02	2.025E-01	
5.200E-02	2.013E-01	
5.250E-02	2.002E-01	
5.300E-02	1.991E-01	
5.350E-02	1.980E-01	
5.400E-02	1.969E-01	
5.450E-02	1.959E-01	
5.500E-02	1.950E-01	
5.550E-02	1.940E-01	
5.600E-02	1.931E-01	
5.650E-02	1.922E-01	
5.700E-02	1.913E-01	
5.750E-02	1.904E-01	
5.800E-02	1.896E-01	
5.850E-02	1.888E-01	
5.900E-02	1.880E-01	
5.950E-02	1.872E-01	
6.000E-02	1.865E-01	
6.050E-02	1.857E-01	
6.100E-02	1.850E-01	
6.150E-02	1.843E-01	
6.200E-02	1.836E-01	
6.250E-02	1.830E-01	
6.300E-02	1.823E-01	
6.350E-02	1.817E-01	
6.400E-02	1.810E-01	
6.450E-02	1.804E-01	
6.500E-02	1.798E-01	
6.550E-02	1.792E-01	
6.600E-02	1.786E-01	
6.650E-02	1.781E-01	
6.700E-02	1.775E-01	
6.750E-02	1.769E-01	
6.800E-02	1.764E-01	
6.850E-02	1.759E-01	
6.900E-02	1.754E-01	
6.950E-02	1.749E-01	
7.000E-02	1.744E-01	
7.050E-02	1.739E-01	
7.100E-02	1.734E-01	
7.150E-02	1.729E-01	
7.200E-02	1.724E-01	
7.250E-02	1.720E-01	
7.300E-02	1.715E-01	
7.350E-02	1.711E-01	
7.400E-02	1.706E-01	
7.450E-02	1.702E-01	
7.500E-02	1.698E-01	
7.550E-02	1.694E-01	
7.600E-02	1.689E-01	
7.650E-02	1.685E-01	
7.700E-02	1.681E-01	
7.750E-02	1.677E-01	
7.800E-02	1.674E-01	
7.850E-02	1.670E-01	
7.900E-02	1.666E-01	
7.950E-02	1.662E-01	
8.000E-02	1.658E-01	
8.050E-02	1.655E-01	
8.100E-02	1.651E-01	
8.150E-02	1.648E-01	
8.200E-02	1.644E-01	
8.250E-02	1.641E-01	
8.300E-02	1.637E-01	
8.350E-02	1.634E-01	
8.400E-02	1.630E-01	
8.450E-02	1.627E-01	
8.500E-02	1.624E-01	
8.550E-02	1.621E-01	
8.600E-02	1.617E-01	
8.650E-02	1.614E-01	
8.700E-02	1.611E-01	
8.750E-02	1.608E-01	
8.800E-02	1.605E-01	
8.850E-02	1.602E-01	
8.900E-02	1.599E-01	
8.950E-02	1.596E-01	
9.000E-02	1.593E-01	
9.050E-02	1.590E-01	
9.100E-02	1.587E-01	
9.150E-02	1.584E-01	
9.200E-02	1.581E-01	
9.250E-02	1.579E-01	
9.300E-02	1.576E-01	
9.350E-02	1.573E-01	
9.400E-02	1.570E-01	
9.450E-02	1.568E-01	
9.500E-02	1.565E-01	
9.550E-02	1.562E-01	
9.600E-02	1.560E-01	
9.650E-02	1.557E-01	
9.700E-02	1.554E-01	
9.750E-02	1.552E-01	
9.800E-02	1.549E-01	
9.850E-02	1.547E-01	
9.900E-02	1.544E-01	
9.950E-02	1.542E-01	
1.000E-01	1.539E-01
1.005E-01	1.537E-01	
1.010E-01	1.534E-01	
1.015E-01	1.532E-01	
1.020E-01	1.530E-01	
1.025E-01	1.527E-01	
1.030E-01	1.525E-01	
1.035E-01	1.522E-01	
1.040E-01	1.520E-01	
1.045E-01	1.518E-01	
1.050E-01	1.516E-01	
1.055E-01	1.513E-01	
1.060E-01	1.511E-01	
1.065E-01	1.509E-01	
1.070E-01	1.507E-01	
1.075E-01	1.504E-01	
1.080E-01	1.502E-01	
1.085E-01	1.500E-01	
1.090E-01	1.498E-01	
1.095E-01	1.496E-01	
1.100E-01	1.494E-01	
1.105E-01	1.491E-01	
1.110E-01	1.489E-01	
1.115E-01	1.487E-01	
1.120E-01	1.485E-01	
1.125E-01	1.483E-01	
1.130E-01	1.481E-01	
1.135E-01	1.479E-01	
1.140E-01	1.477E-01	
1.145E-01	1.475E-01	
1.150E-01	1.473E-01	
1.155E-01	1.471E-01	
1.160E-01	1.469E-01	
1.165E-01	1.467E-01	
1.170E-01	1.465E-01	
1.175E-01	1.463E-01	
1.180E-01	1.461E-01	
1.185E-01	1.459E-01	
1.190E-01	1.457E-01	
1.195E-01	1.456E-01	
1.200E-01	1.454E-01
1.205E-01	1.452E-01	
1.210E-01	1.450E-01	
1.215E-01	1.448E-01	
1.220E-01	1.446E-01	
1.225E-01	1.444E-01	
1.230E-01	1.442E-01	
1.235E-01	1.441E-01	
1.240E-01	1.439E-01	
1.245E-01	1.437E-01	
1.250E-01	1.435E-01	
1.255E-01	1.433E-01	
1.260E-01	1.432E-01	
1.265E-01	1.430E-01	
1.270E-01	1.428E-01	
1.275E-01	1.426E-01	
1.280E-01	1.425E-01	
1.285E-01	1.423E-01	
1.290E-01	1.421E-01	
1.295E-01	1.420E-01	
1.300E-01	1.418E-01	
1.305E-01	1.416E-01	
1.310E-01	1.414E-01	
1.315E-01	1.413E-01	
1.320E-01	1.411E-01	
1.325E-01	1.409E-01	
1.330E-01	1.408E-01	
1.335E-01	1.406E-01	
1.340E-01	1.404E-01	
1.345E-01	1.403E-01	
1.350E-01	1.401E-01	
