Energy(MeV)	Mass Attenuation(cm^2/g)	
2.000E-02	6.901E-01	
2.050E-02	6.533E-01	
2.100E-02	6.200E-01	
2.150E-02	5.898E-01	
2.200E-02	5.623E-01	
2.250E-02	5.373E-01	
2.300E-02	5.144E-01	
2.350E-02	4.934E-01	
2.400E-02	4.741E-01	
2.450E-02	4.564E-01	
2.500E-02	4.401E-01	
2.550E-02	4.251E-01	
2.600E-02	4.112E-01	
2.650E-02	3.984E-01	
2.700E-02	3.865E-01	
2.750E-02	3.754E-01	
2.800E-02	3.651E-01	
2.850E-02	3.555E-01	
2.900E-02	3.466E-01	
2.950E-02	3.383E-01	
3.000E-02	3.305E-01	
3.050E-02	3.232E-01	
3.100E-02	3.163E-01	
3.150E-02	3.099E-01	
3.200E-02	3.038E-01	
3.250E-02	2.981E-01	
3.300E-02	2.928E-01		
3.350E-02	5.787E-01	
3.400E-02	5.631E-01	
3.450E-02	5.483E-01	
3.500E-02	5.343E-01	
3.550E-02	5.210E-01	
3.600E-02	5.084E-01	
3.650E-02	4.964E-01	
3.700E-02	4.849E-01	
3.750E-02	4.740E-01	
3.800E-02	4.636E-01	
3.850E-02	4.537E-01	
3.900E-02	4.443E-01	
3.950E-02	4.352E-01	
4.000E-02	4.266E-01	
4.050E-02	4.183E-01	
4.100E-02	4.104E-01	
4.150E-02	4.028E-01	
4.200E-02	3.956E-01	
4.250E-02	3.886E-01	
4.300E-02	3.819E-01	
4.350E-02	3.755E-01	
4.400E-02	3.694E-01	
4.450E-02	3.634E-01	
4.500E-02	3.578E-01	
4.550E-02	3.523E-01	
4.600E-02	3.470E-01	
4.650E-02	3.419E-01	
4.700E-02	3.371E-01	
4.750E-02	3.324E-01	
4.800E-02	3.278E-01	
4.850E-02	3.234E-01	
4.900E-02	3.192E-01	
4.950E-02	3.151E-01	
5.000E-02	3.112E-01	
5.050E-02	3.074E-01	
5.100E-02	3.037E-01	
5.150E-02	3.002E-01	
5.200E-02	2.967E-01	
5.250E-02	2.934E-01	
5.300E-02	2.902E-01	
5.350E-02	2.870E-01	
5.400E-02	2.840E-01	
5.450E-02	2.811E-01	
5.500E-02	2.783E-01	
5.550E-02	2.755E-01	
5.600E-02	2.729E-01	
5.650E-02	2.703E-01	
5.700E-02	2.678E-01	
5.750E-02	2.654E-01	
5.800E-02	2.630E-01	
5.850E-02	2.607E-01	
5.900E-02	2.585E-01	
5.950E-02	2.563E-01	
6.000E-02	2.542E-01	
6.050E-02	2.522E-01	
6.100E-02	2.502E-01	
6.150E-02	2.483E-01	
6.200E-02	2.464E-01
6.250E-02	2.446E-01	
6.300E-02	2.428E-01	
6.350E-02	2.411E-01	
6.400E-02	2.394E-01	
6.450E-02	2.377E-01	
6.500E-02	2.361E-01	
6.550E-02	2.346E-01	
6.600E-02	2.331E-01	
6.650E-02	2.316E-01	
6.700E-02	2.301E-01	
6.750E-02	2.287E-01	
6.800E-02	2.273E-01	
6.850E-02	2.260E-01	
6.900E-02	2.247E-01	
6.950E-02	2.234E-01	
7.000E-02	2.221E-01	
7.050E-02	2.209E-01	
7.100E-02	2.197E-01	
7.150E-02	2.185E-01	
7.200E-02	2.174E-01	
7.250E-02	2.163E-01	
7.300E-02	2.152E-01	
7.350E-02	2.141E-01	
7.400E-02	2.130E-01	
7.450E-02	2.120E-01	
7.500E-02	2.110E-01	
7.550E-02	2.100E-01	
7.600E-02	2.090E-01	
7.650E-02	2.081E-01	
7.700E-02	2.072E-01	
7.750E-02	2.063E-01	
7.800E-02	2.054E-01	
7.850E-02	2.045E-01	
7.900E-02	2.036E-01	
7.950E-02	2.028E-01	
8.000E-02	2.020E-01		
			
