Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	5.678E-01	
2.050E-02	5.413E-01	
2.100E-02	5.172E-01	
2.150E-02	4.954E-01	
2.200E-02	4.755E-01	
2.250E-02	4.574E-01	
2.300E-02	4.408E-01	
2.350E-02	4.255E-01	
2.400E-02	4.116E-01	
2.450E-02	3.987E-01	
2.500E-02	3.868E-01	
2.550E-02	3.759E-01	
2.600E-02	3.657E-01	
2.650E-02	3.563E-01	
2.700E-02	3.476E-01	
2.750E-02	3.395E-01	
2.800E-02	3.319E-01	
2.850E-02	3.249E-01	
2.900E-02	3.183E-01	
2.950E-02	3.121E-01	
3.000E-02	3.063E-01	
3.050E-02	3.009E-01	
3.100E-02	2.958E-01	
3.150E-02	2.911E-01	
3.200E-02	2.866E-01	
3.250E-02	2.823E-01	
3.300E-02	2.783E-01	
3.350E-02	2.745E-01	
3.400E-02	2.709E-01	
3.450E-02	2.675E-01	
3.500E-02	2.643E-01	
3.550E-02	2.613E-01	
3.600E-02	2.584E-01	
3.650E-02	2.556E-01	
3.700E-02	2.530E-01	
3.750E-02	2.505E-01	
3.800E-02	2.481E-01	
3.850E-02	2.458E-01	
3.900E-02	2.436E-01	
3.950E-02	2.416E-01	
4.000E-02	2.396E-01	
4.050E-02	2.377E-01	
4.100E-02	2.358E-01	
4.150E-02	2.341E-01	
4.200E-02	2.324E-01	
4.250E-02	2.308E-01	
4.300E-02	2.292E-01	
4.350E-02	2.277E-01	
4.400E-02	2.263E-01	
4.450E-02	2.249E-01	
4.500E-02	2.235E-01	
4.550E-02	2.222E-01	
4.600E-02	2.210E-01	
4.650E-02	2.198E-01	
4.700E-02	2.186E-01	
4.750E-02	2.175E-01	
4.800E-02	2.164E-01	
4.850E-02	2.153E-01	
4.900E-02	2.143E-01	
4.950E-02	2.133E-01	
5.000E-02	2.123E-01	
5.050E-02	2.114E-01	
5.100E-02	2.104E-01	
5.150E-02	2.096E-01	
5.200E-02	2.087E-01	
5.250E-02	2.078E-01	
5.300E-02	2.070E-01	
5.350E-02	2.062E-01	
5.400E-02	2.054E-01	
5.450E-02	2.047E-01	
5.500E-02	2.039E-01	
5.550E-02	2.032E-01	
5.600E-02	2.025E-01	
5.650E-02	2.018E-01	
5.700E-02	2.011E-01	
5.750E-02	2.005E-01	
5.800E-02	1.998E-01	
5.850E-02	1.992E-01	
5.900E-02	1.986E-01	
5.950E-02	1.980E-01	
6.000E-02	1.974E-01	
6.050E-02	1.968E-01	
6.100E-02	1.962E-01	
6.150E-02	1.957E-01	
6.200E-02	1.951E-01	
6.250E-02	1.946E-01	
6.300E-02	1.940E-01	
6.350E-02	1.935E-01	
6.400E-02	1.930E-01	
6.450E-02	1.925E-01	
6.500E-02	1.920E-01	
6.550E-02	1.915E-01	
6.600E-02	1.910E-01	
6.650E-02	1.906E-01	
6.700E-02	1.901E-01	
6.750E-02	1.897E-01	
6.800E-02	1.892E-01	
6.850E-02	1.888E-01	
6.900E-02	1.883E-01	
6.950E-02	1.879E-01	
7.000E-02	1.875E-01
7.050E-02	1.871E-01	
7.100E-02	1.866E-01	
7.150E-02	1.862E-01	
7.200E-02	1.858E-01	
7.250E-02	1.854E-01	
7.300E-02	1.850E-01	
7.350E-02	1.847E-01	
7.400E-02	1.843E-01	
7.450E-02	1.839E-01	
7.500E-02	1.835E-01	
7.550E-02	1.832E-01	
7.600E-02	1.828E-01	
7.650E-02	1.824E-01	
7.700E-02	1.821E-01	
7.750E-02	1.817E-01	
7.800E-02	1.814E-01	
7.850E-02	1.810E-01	
7.900E-02	1.807E-01	
7.950E-02	1.804E-01	
8.000E-02	1.800E-01	
8.050E-02	1.797E-01	
8.100E-02	1.794E-01	
8.150E-02	1.791E-01	
8.200E-02	1.787E-01	
8.250E-02	1.784E-01	
8.300E-02	1.781E-01	
8.350E-02	1.778E-01	
8.400E-02	1.775E-01	
8.450E-02	1.772E-01	
8.500E-02	1.769E-01	
8.550E-02	1.766E-01	
8.600E-02	1.763E-01	
8.650E-02	1.760E-01	
8.700E-02	1.757E-01	
8.750E-02	1.754E-01	
8.800E-02	1.751E-01	
8.850E-02	1.748E-01	
8.900E-02	1.745E-01	
8.950E-02	1.743E-01	
9.000E-02	1.740E-01
