Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	1.051E+00	
2.050E-02	9.910E-01	
2.100E-02	9.365E-01	
2.150E-02	8.868E-01	
2.200E-02	8.415E-01	
2.250E-02	8.002E-01	
2.300E-02	7.623E-01	
2.350E-02	7.275E-01	
2.400E-02	6.955E-01	
2.450E-02	6.661E-01	
2.500E-02	6.389E-01	
2.550E-02	6.138E-01	
2.600E-02	5.906E-01	
2.650E-02	5.690E-01	
2.700E-02	5.490E-01	
2.750E-02	5.304E-01	
2.800E-02	5.130E-01	
2.850E-02	4.969E-01	
2.900E-02	4.818E-01	
2.950E-02	4.677E-01	
3.000E-02	4.544E-01	
3.050E-02	4.420E-01	
3.100E-02	4.304E-01	
3.150E-02	4.194E-01	
3.200E-02	4.091E-01	
3.250E-02	3.994E-01	
3.300E-02	3.903E-01		
3.350E-02	6.262E-01	
3.400E-02	6.089E-01	
3.450E-02	5.926E-01	
3.500E-02	5.771E-01	
3.550E-02	5.624E-01	
3.600E-02	5.484E-01	
3.650E-02	5.351E-01	
3.700E-02	5.225E-01	
3.750E-02	5.105E-01	
3.800E-02	4.990E-01	
3.850E-02	4.881E-01	
3.900E-02	4.776E-01	
3.950E-02	4.677E-01	
4.000E-02	4.581E-01	
4.050E-02	4.490E-01	
4.100E-02	4.403E-01	
4.150E-02	4.320E-01	
4.200E-02	4.240E-01	
4.250E-02	4.163E-01	
4.300E-02	4.089E-01	
4.350E-02	4.019E-01	
4.400E-02	3.951E-01	
4.450E-02	3.886E-01	
4.500E-02	3.823E-01	
4.550E-02	3.763E-01	
4.600E-02	3.705E-01	
4.650E-02	3.650E-01	
4.700E-02	3.596E-01	
4.750E-02	3.544E-01	
4.800E-02	3.494E-01	
4.850E-02	3.446E-01	
4.900E-02	3.400E-01	
4.950E-02	3.355E-01	
5.000E-02	3.312E-01	
5.050E-02	3.270E-01	
5.100E-02	3.230E-01	
5.150E-02	3.191E-01	
5.200E-02	3.153E-01	
5.250E-02	3.117E-01	
5.300E-02	3.081E-01	
5.350E-02	3.047E-01	
5.400E-02	3.014E-01	
5.450E-02	2.982E-01	
5.500E-02	2.951E-01	
5.550E-02	2.921E-01	
5.600E-02	2.891E-01	
5.650E-02	2.863E-01	
5.700E-02	2.836E-01	
5.750E-02	2.809E-01	
5.800E-02	2.783E-01	
5.850E-02	2.758E-01	
5.900E-02	2.734E-01	
5.950E-02	2.710E-01	
6.000E-02	2.687E-01	
6.050E-02	2.664E-01	
6.100E-02	2.643E-01	
6.150E-02	2.621E-01	
6.200E-02	2.601E-01	
6.250E-02	2.581E-01	
6.300E-02	2.561E-01	
6.350E-02	2.542E-01	
6.400E-02	2.524E-01	
6.450E-02	2.505E-01	
6.500E-02	2.488E-01	
6.550E-02	2.471E-01	
6.600E-02	2.454E-01	
6.650E-02	2.438E-01	
6.700E-02	2.422E-01	
6.750E-02	2.406E-01	
6.800E-02	2.391E-01	
6.850E-02	2.376E-01	
6.900E-02	2.361E-01	
6.950E-02	2.347E-01	
7.000E-02	2.333E-01
7.050E-02	2.320E-01	
7.100E-02	2.307E-01	
7.150E-02	2.294E-01	
7.200E-02	2.281E-01	
7.250E-02	2.269E-01	
7.300E-02	2.257E-01	
7.350E-02	2.245E-01	
7.400E-02	2.233E-01	
7.450E-02	2.222E-01	
7.500E-02	2.211E-01	
7.550E-02	2.200E-01	
7.600E-02	2.189E-01	
7.650E-02	2.179E-01	
7.700E-02	2.168E-01	
7.750E-02	2.158E-01	
7.800E-02	2.148E-01	
7.850E-02	2.139E-01	
7.900E-02	2.129E-01	
7.950E-02	2.120E-01	
8.000E-02	2.111E-01	
8.050E-02	2.102E-01	
8.100E-02	2.093E-01	
8.150E-02	2.084E-01	
8.200E-02	2.076E-01	
8.250E-02	2.068E-01	
8.300E-02	2.059E-01	
8.350E-02	2.051E-01	
8.400E-02	2.043E-01	
8.450E-02	2.036E-01	
8.500E-02	2.028E-01	
8.550E-02	2.020E-01	
8.600E-02	2.013E-01	
8.650E-02	2.006E-01	
8.700E-02	1.999E-01	
8.750E-02	1.992E-01	
8.800E-02	1.985E-01	
8.850E-02	1.978E-01	
8.900E-02	1.971E-01	
8.950E-02	1.965E-01	
9.000E-02	1.958E-01
